item, itemLabel
http://www.wikidata.org/entity/Q1639626, Susan Pevensie
http://www.wikidata.org/entity/Q1631670, Jessica Rabbit
http://www.wikidata.org/entity/Q2846779, Ender Wiggin
http://www.wikidata.org/entity/Q1869436, Red weed
http://www.wikidata.org/entity/Q1997439, White Witch
http://www.wikidata.org/entity/Q3296706, Veruca Salt
http://www.wikidata.org/entity/Q1979315, Sportacus
http://www.wikidata.org/entity/Q1640313, Lucy Pevensie
http://www.wikidata.org/entity/Q51801, Watto
http://www.wikidata.org/entity/Q1130642, Laurana Kanan
http://www.wikidata.org/entity/Q51791, Nute Gunray
http://www.wikidata.org/entity/Q51793, Jar Jar Binks
http://www.wikidata.org/entity/Q1753328, Carnage
http://www.wikidata.org/entity/Q1861779, Scream
http://www.wikidata.org/entity/Q76933713, Aaravos
http://www.wikidata.org/entity/Q6077911, Isabella
http://www.wikidata.org/entity/Q6259214, John Stillman
http://www.wikidata.org/entity/Q7205673, Pluto
http://www.wikidata.org/entity/Q6784974, Master
http://www.wikidata.org/entity/Q6785056, Master Man
http://www.wikidata.org/entity/Q7910842, Valentina
http://www.wikidata.org/entity/Q6968429, Natasha
http://www.wikidata.org/entity/Q7828727, Touchstone
http://www.wikidata.org/entity/Q7815095, Tom Brown
http://www.wikidata.org/entity/Q7801186, Tiffany
http://www.wikidata.org/entity/Q61823111, Rayla
http://www.wikidata.org/entity/Q7244553, Princess Aura
http://www.wikidata.org/entity/Q6516868, Left Hand
http://www.wikidata.org/entity/Q7813460, Tokai
http://www.wikidata.org/entity/Q2578146, Lasher
http://www.wikidata.org/entity/Q3515808, Tars Tarkas
http://www.wikidata.org/entity/Q28130053, Billy Lenz
http://www.wikidata.org/entity/Q7331341, Rick Decker
http://www.wikidata.org/entity/Q6736994, Maisie
http://www.wikidata.org/entity/Q2622279, Jim Raynor
http://www.wikidata.org/entity/Q6115314, Jack Staff
http://www.wikidata.org/entity/Q6119224, Jacob Sardini
http://www.wikidata.org/entity/Q6135680, Super Cholita
http://www.wikidata.org/entity/Q6226177, "John Clark,  Jr."
http://www.wikidata.org/entity/Q6272091, Jonas Glim
http://www.wikidata.org/entity/Q6302527, Judge Goodman
http://www.wikidata.org/entity/Q6302563, Judge Janus
http://www.wikidata.org/entity/Q6548377, Lilly Rush
http://www.wikidata.org/entity/Q6667028, Logan Fowler
http://www.wikidata.org/entity/Q6710311, Lyta Milton
http://www.wikidata.org/entity/Q6761259, Maria Hermosa
http://www.wikidata.org/entity/Q6808737, Megan Russert
http://www.wikidata.org/entity/Q6899542, Mongo the Magnificent
http://www.wikidata.org/entity/Q7047480, Noggin the Nog
http://www.wikidata.org/entity/Q7074649, Obayifo
http://www.wikidata.org/entity/Q7109852, Otto Titzling
http://www.wikidata.org/entity/Q7113993, Overt-Kill
http://www.wikidata.org/entity/Q7154748, Paula Pophouse
http://www.wikidata.org/entity/Q7179130, Petrova Fossil
http://www.wikidata.org/entity/Q7286799, Raktavija
http://www.wikidata.org/entity/Q7289249, Rambling Syd Rumpo
http://www.wikidata.org/entity/Q7298640, Raymond Caine
http://www.wikidata.org/entity/Q7330246, Richard the Lion
http://www.wikidata.org/entity/Q7358638, Roger Mellie
http://www.wikidata.org/entity/Q7363300, Rompad
http://www.wikidata.org/entity/Q7495073, Sherlock Hemlock
http://www.wikidata.org/entity/Q7529371, Sir Walter Bullivant
http://www.wikidata.org/entity/Q7599958, Stanley Sorenson
http://www.wikidata.org/entity/Q7700876, Tenth Muse
http://www.wikidata.org/entity/Q7920574, Venus Bluegenes
http://www.wikidata.org/entity/Q7937098, Vitin Alicea
http://www.wikidata.org/entity/Q85762489, Gage Creed
http://www.wikidata.org/entity/Q85797188, Richie Tozier
http://www.wikidata.org/entity/Q55403199, Eddie Valiant
http://www.wikidata.org/entity/Q105563760, Walter One
http://www.wikidata.org/entity/Q3735941, Exsedol Folmo
http://www.wikidata.org/entity/Q3644178, Breetai
http://www.wikidata.org/entity/Q3980453, Tall Man
http://www.wikidata.org/entity/Q5419956, Exedore
http://www.wikidata.org/entity/Q7827784, Toshio Saeki
http://www.wikidata.org/entity/Q84607917, Anduin Wrynn
http://www.wikidata.org/entity/Q4006190, Larry Talbot
http://www.wikidata.org/entity/Q4574639, Jack Crawford
http://www.wikidata.org/entity/Q5252641, Dejah Thoris
http://www.wikidata.org/entity/Q17055151, Miriya Parina Sterling
http://www.wikidata.org/entity/Q9617362, Anti-Venom
http://www.wikidata.org/entity/Q7350372, Robert Thorn
http://www.wikidata.org/entity/Q13512240, Bride of Frankenstein
http://www.wikidata.org/entity/Q7982624, Wendy Christensen
http://www.wikidata.org/entity/Q5176636, Count Alucard
http://www.wikidata.org/entity/Q9081531, Takeo Saeki
http://www.wikidata.org/entity/Q3931684, Regan MacNeil
http://www.wikidata.org/entity/Q4969203, Britai Kridanik
http://www.wikidata.org/entity/Q5363105, Elizabeth Lavenza
http://www.wikidata.org/entity/Q17051247, Lankester Merrin
http://www.wikidata.org/entity/Q7320853, Rhoda Penmark
http://www.wikidata.org/entity/Q7666090, Sérgio Mallandro
http://www.wikidata.org/entity/Q8005648, William Bludworth
http://www.wikidata.org/entity/Q5287408, Doctor Waldman
http://www.wikidata.org/entity/Q5372962, Emma Spool
http://www.wikidata.org/entity/Q6416158, Kirsty Cotton
http://www.wikidata.org/entity/Q6446604, Kurt Barlow
http://www.wikidata.org/entity/Q6928895, Mr. Martian
http://www.wikidata.org/entity/Q14915991, Angela Franklin
http://www.wikidata.org/entity/Q5518297, Gale Weathers
http://www.wikidata.org/entity/Q6765157, Marion Crane
http://www.wikidata.org/entity/Q18747321, Wendy Torrance
http://www.wikidata.org/entity/Q4572479, Mason Verger
http://www.wikidata.org/entity/Q5287382, Doctor Septimus Pretorius
http://www.wikidata.org/entity/Q7489270, Shapesmith
http://www.wikidata.org/entity/Q7931742, Vincent D'Agosta
http://www.wikidata.org/entity/Q16390681, Jesse Walsh
http://www.wikidata.org/entity/Q17014976, Ras Thavas
http://www.wikidata.org/entity/Q108923148, Venom
http://www.wikidata.org/entity/Q783843, Emil Svensson
http://www.wikidata.org/entity/Q272054, Guinevere
http://www.wikidata.org/entity/Q2695156, Batman
http://www.wikidata.org/entity/Q211013, Hannibal Lecter
http://www.wikidata.org/entity/Q329466, Freddy Krueger
http://www.wikidata.org/entity/Q726269, Handala
http://www.wikidata.org/entity/Q166150, Damien Thorn
http://www.wikidata.org/entity/Q582234, Edmund Pevensie
